node,community,total_degree,weighted_total_degree,total_degree_in_group,weighted_total_degree_in_group,total_degree_between,weighted_total_degree_between,in_group_ratio,internal_strength_fraction,k_core_all,s_core_all,undirected_reach_2,total_degree_normalized,ego_density,density_clustering_coefficient,barrat_weighted_clustering,modularity_vitality_hub,modularity_vitality_bridge,undirected_reach_2_normalized
NoColdWar,7,21,130.0,13,100.0,8,30.0,0.6190476190476191,0.7692307692307693,13,33,137,0.0004448246364414029,0.6233766233766234,0.5324675324675324,0.7161538461538461,0.001134635171072318,0.0,0.004883090960935272
SixShotsOfFailure,7,61,718.0,40,538.0,21,180.0,0.6557377049180327,0.7493036211699164,14,50,140,0.0024568006843455944,0.2913802221047065,0.2591221575885775,0.6442896935933148,0.006030488819975033,0.0,0.00499001996007984
SixShotsNoSink,7,55,576.0,40,486.0,15,90.0,0.7272727272727273,0.84375,14,47,140,0.0019709153122326774,0.3155844155844156,0.2798701298701299,0.6576003086419753,0.007822407032951506,0.0,0.00499001996007984
SinkingReputationNotShips,7,77,1058.0,48,844.0,29,214.0,0.6233766233766234,0.7977315689981096,14,52,140,0.0036201881950384943,0.21944721944721945,0.1938061938061938,0.5512138095711869,0.013604190637860059,0.0,0.00499001996007984
ShipSafeFromHIMARS,7,41,510.0,28,438.0,13,72.0,0.6829268292682927,0.8588235294117647,13,46,137,0.00174508126603935,0.40185830429732866,0.35423925667828104,0.7308823529411764,0.007356201659917905,0.0,0.004883090960935272
TaiwanTraitors,1,7,14.0,3,6.0,4,8.0,0.42857142857142855,0.42857142857142855,7,9,119,4.790419161676647e-5,1.0,0.75,1.0,0.00013526634426541673,0.0,0.0042415169660678645
China,2,16,3524.0,5,2080.0,11,1444.0,0.3125,0.5902383654937571,6,57,111,0.012058169375534646,0.4411764705882353,0.3235294117647059,0.5148694665153235,0.018545063686560503,0.0,0.003956372968349016
JavelinLiveFire,3,38,324.0,23,138.0,15,186.0,0.6052631578947368,0.42592592592592593,13,40,141,0.001108639863130881,0.3481781376518219,0.2968960863697706,0.4706373039706373,0.003662666080788024,0.0,0.005025662959794696
Marines,1,11,70.0,5,42.0,6,28.0,0.45454545454545453,0.6,10,27,124,0.00023952095808383233,0.9393939393939394,0.7727272727272727,0.9771428571428571,0.0017454126657272528,0.0,0.0044197319646421445
Bilateral,3,16,80.0,8,58.0,8,22.0,0.5,0.725,11,28,134,0.0002737382378100941,0.6544117647058824,0.5367647058823529,0.8216666666666667,0.002888169883851932,0.0,0.0047761619617907045
Operations,3,16,80.0,8,58.0,8,22.0,0.5,0.725,11,28,134,0.0002737382378100941,0.6544117647058824,0.5367647058823529,0.8216666666666667,0.002888169883851932,0.0,0.0047761619617907045
Cambodia,2,10,356.0,5,332.0,5,24.0,0.5,0.9325842696629213,6,48,106,0.0012181351582549187,0.6727272727272727,0.4909090909090909,0.9500624219725343,0.0076644452392055085,0.0,0.003778157969774736
FutureOfTheInternet,2,3,12.0,3,12.0,0,0.0,1.0,1.0,3,8,46,4.1060735671514114e-5,1.0,0.5,1.0,0.00028454540647160353,0.0,0.0016395779868833762
ModernAndMulticapablePHNavy,7,18,128.0,16,98.0,2,30.0,0.8888888888888888,0.765625,12,33,126,0.00043798118049615057,0.6491228070175439,0.543859649122807,0.7306985294117647,0.0006553418614113626,0.0,0.004491017964071856
DachenIslands,9,6,1680.0,4,1120.0,2,560.0,0.6666666666666666,0.6666666666666666,6,54,106,0.005748502994011976,1.0,0.7142857142857143,1.0,0.0,0.005257673735091839,0.003778157969774736
CGTNOfficial,2,1,6.0,1,6.0,0,0.0,1.0,1.0,1,3,46,2.0530367835757057e-5,1.0,0.0,0.0,0.00014207550822870063,0.0,0.0016395779868833762
BewareOfChinaSea,1,7,14.0,5,10.0,2,4.0,0.7142857142857143,0.7142857142857143,7,9,103,4.790419161676647e-5,1.0,0.75,1.0,0.00048234295280064066,0.0,0.003671228970630168
HIMARS,7,31,130.0,21,88.0,10,42.0,0.6774193548387096,0.676923076923077,13,33,140,0.0004448246364414029,0.5020161290322581,0.43951612903225806,0.5969230769230769,0.00029456488220314103,0.0,0.00499001996007984
MockingHashtags,7,6,12.0,3,6.0,3,6.0,0.5,0.5,6,8,122,4.1060735671514114e-5,1.0,0.7142857142857143,1.0,0.0,0.00011709144200988675,0.004348445965212432
ChinaUrgesROCSocialMediaBot,9,2,4.0,1,2.0,1,2.0,0.5,0.5,2,2,103,1.3686911890504705e-5,1.0,0.3333333333333333,1.0,0.0,6.667678176475178e-5,0.003671228970630168
F,7,2,20.0,2,20.0,0,0.0,1.0,1.0,2,12,45,6.843455945252352e-5,1.0,0.3333333333333333,1.0,0.0004136645208737133,0.0,0.00160393498716852
Exercise,3,14,58.0,5,34.0,9,24.0,0.35714285714285715,0.5862068965517241,13,25,110,0.0001984602224123182,0.9428571428571428,0.8095238095238095,0.9681697612732095,0.0013995131563740992,0.0,0.00392072996863416
Abroad,3,14,58.0,5,34.0,9,24.0,0.35714285714285715,0.5862068965517241,13,25,110,0.0001984602224123182,0.9428571428571428,0.8095238095238095,0.9681697612732095,0.0013995131563740992,0.0,0.00392072996863416
